char,codepoint,name,block
𒁑,U+12051,CUNEIFORM SIGN BULUG,Cuneiform
𒁒,U+12052,CUNEIFORM SIGN BULUG OVER BULUG,Cuneiform
𒁓,U+12053,CUNEIFORM SIGN BUR,Cuneiform
𒁔,U+12054,CUNEIFORM SIGN BUR2,Cuneiform
𒁕,U+12055,CUNEIFORM SIGN DA,Cuneiform
𒁖,U+12056,CUNEIFORM SIGN DAG,Cuneiform
𒁗,U+12057,CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH,Cuneiform
𒁘,U+12058,CUNEIFORM SIGN DAG KISIM5 TIMES AMAR,Cuneiform
𒁙,U+12059,CUNEIFORM SIGN DAG KISIM5 TIMES BALAG,Cuneiform
𒁚,U+1205A,CUNEIFORM SIGN DAG KISIM5 TIMES BI,Cuneiform
𒁛,U+1205B,CUNEIFORM SIGN DAG KISIM5 TIMES GA,Cuneiform
𒁜,U+1205C,CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH,Cuneiform
𒁝,U+1205D,CUNEIFORM SIGN DAG KISIM5 TIMES GI,Cuneiform
𒁞,U+1205E,CUNEIFORM SIGN DAG KISIM5 TIMES GIR2,Cuneiform
𒁟,U+1205F,CUNEIFORM SIGN DAG KISIM5 TIMES GUD,Cuneiform
𒁠,U+12060,CUNEIFORM SIGN DAG KISIM5 TIMES HA,Cuneiform
𒁡,U+12061,CUNEIFORM SIGN DAG KISIM5 TIMES IR,Cuneiform
𒁢,U+12062,CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU,Cuneiform
𒁣,U+12063,CUNEIFORM SIGN DAG KISIM5 TIMES KAK,Cuneiform
𒁤,U+12064,CUNEIFORM SIGN DAG KISIM5 TIMES LA,Cuneiform
𒁥,U+12065,CUNEIFORM SIGN DAG KISIM5 TIMES LU,Cuneiform
𒁦,U+12066,CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2,Cuneiform
𒁧,U+12067,CUNEIFORM SIGN DAG KISIM5 TIMES LUM,Cuneiform
𒁨,U+12068,CUNEIFORM SIGN DAG KISIM5 TIMES NE,Cuneiform
𒁩,U+12069,CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP,Cuneiform
𒁪,U+1206A,CUNEIFORM SIGN DAG KISIM5 TIMES SI,Cuneiform
𒁫,U+1206B,CUNEIFORM SIGN DAG KISIM5 TIMES TAK4,Cuneiform
𒁬,U+1206C,CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2,Cuneiform
𒁭,U+1206D,CUNEIFORM SIGN DAG KISIM5 TIMES USH,Cuneiform
𒁮,U+1206E,CUNEIFORM SIGN DAM,Cuneiform
𒁯,U+1206F,CUNEIFORM SIGN DAR,Cuneiform
𒁰,U+12070,CUNEIFORM SIGN DARA3,Cuneiform
𒁱,U+12071,CUNEIFORM SIGN DARA4,Cuneiform
𒁲,U+12072,CUNEIFORM SIGN DI,Cuneiform
𒁳,U+12073,CUNEIFORM SIGN DIB,Cuneiform
𒁴,U+12074,CUNEIFORM SIGN DIM,Cuneiform
𒁵,U+12075,CUNEIFORM SIGN DIM TIMES SHE,Cuneiform
𒁶,U+12076,CUNEIFORM SIGN DIM2,Cuneiform
𒁷,U+12077,CUNEIFORM SIGN DIN,Cuneiform
𒁸,U+12078,CUNEIFORM SIGN DIN KASKAL U GUNU DISH,Cuneiform
𒁹,U+12079,CUNEIFORM SIGN DISH,Cuneiform
𒁺,U+1207A,CUNEIFORM SIGN DU,Cuneiform
𒁻,U+1207B,CUNEIFORM SIGN DU OVER DU,Cuneiform
𒁼,U+1207C,CUNEIFORM SIGN DU GUNU,Cuneiform
𒁽,U+1207D,CUNEIFORM SIGN DU SHESHIG,Cuneiform
𒁾,U+1207E,CUNEIFORM SIGN DUB,Cuneiform
𒁿,U+1207F,CUNEIFORM SIGN DUB TIMES ESH2,Cuneiform
𒂀,U+12080,CUNEIFORM SIGN DUB2,Cuneiform
𒂁,U+12081,CUNEIFORM SIGN DUG,Cuneiform
𒂂,U+12082,CUNEIFORM SIGN DUGUD,Cuneiform
𒂃,U+12083,CUNEIFORM SIGN DUH,Cuneiform
𒂄,U+12084,CUNEIFORM SIGN DUN,Cuneiform
𒂅,U+12085,CUNEIFORM SIGN DUN3,Cuneiform
𒂆,U+12086,CUNEIFORM SIGN DUN3 GUNU,Cuneiform
𒂇,U+12087,CUNEIFORM SIGN DUN3 GUNU GUNU,Cuneiform
𒂈,U+12088,CUNEIFORM SIGN DUN4,Cuneiform
𒂉,U+12089,CUNEIFORM SIGN DUR2,Cuneiform
𒂊,U+1208A,CUNEIFORM SIGN E,Cuneiform
𒂋,U+1208B,CUNEIFORM SIGN E TIMES PAP,Cuneiform
𒂌,U+1208C,CUNEIFORM SIGN E OVER E NUN OVER NUN,Cuneiform
𒂍,U+1208D,CUNEIFORM SIGN E2,Cuneiform
𒂎,U+1208E,CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA,Cuneiform
𒂏,U+1208F,CUNEIFORM SIGN E2 TIMES GAR,Cuneiform
𒂐,U+12090,CUNEIFORM SIGN E2 TIMES MI,Cuneiform
𒂑,U+12091,CUNEIFORM SIGN E2 TIMES SAL,Cuneiform
𒂒,U+12092,CUNEIFORM SIGN E2 TIMES SHE,Cuneiform
𒂓,U+12093,CUNEIFORM SIGN E2 TIMES U,Cuneiform
𒂔,U+12094,CUNEIFORM SIGN EDIN,Cuneiform
𒂕,U+12095,CUNEIFORM SIGN EGIR,Cuneiform
𒂖,U+12096,CUNEIFORM SIGN EL,Cuneiform
𒂗,U+12097,CUNEIFORM SIGN EN,Cuneiform
𒂘,U+12098,CUNEIFORM SIGN EN TIMES GAN2,Cuneiform
𒂙,U+12099,CUNEIFORM SIGN EN TIMES GAN2 TENU,Cuneiform
𒂚,U+1209A,CUNEIFORM SIGN EN TIMES ME,Cuneiform
𒂛,U+1209B,CUNEIFORM SIGN EN CROSSING EN,Cuneiform
𒂜,U+1209C,CUNEIFORM SIGN EN OPPOSING EN,Cuneiform
𒂝,U+1209D,CUNEIFORM SIGN EN SQUARED,Cuneiform
𒂞,U+1209E,CUNEIFORM SIGN EREN,Cuneiform
𒂟,U+1209F,CUNEIFORM SIGN ERIN2,Cuneiform
𒂠,U+120A0,CUNEIFORM SIGN ESH2,Cuneiform
𒂡,U+120A1,CUNEIFORM SIGN EZEN,Cuneiform
𒂢,U+120A2,CUNEIFORM SIGN EZEN TIMES A,Cuneiform
𒂣,U+120A3,CUNEIFORM SIGN EZEN TIMES A PLUS LAL,Cuneiform
𒂤,U+120A4,CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL,Cuneiform
𒂥,U+120A5,CUNEIFORM SIGN EZEN TIMES AN,Cuneiform
𒂦,U+120A6,CUNEIFORM SIGN EZEN TIMES BAD,Cuneiform
𒂧,U+120A7,CUNEIFORM SIGN EZEN TIMES DUN3 GUNU,Cuneiform
𒂨,U+120A8,CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU,Cuneiform
𒂩,U+120A9,CUNEIFORM SIGN EZEN TIMES HA,Cuneiform
𒂪,U+120AA,CUNEIFORM SIGN EZEN TIMES HA GUNU,Cuneiform
𒂫,U+120AB,CUNEIFORM SIGN EZEN TIMES IGI GUNU,Cuneiform
𒂬,U+120AC,CUNEIFORM SIGN EZEN TIMES KASKAL,Cuneiform
𒂭,U+120AD,CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED,Cuneiform
𒂮,U+120AE,CUNEIFORM SIGN EZEN TIMES KU3,Cuneiform
𒂯,U+120AF,CUNEIFORM SIGN EZEN TIMES LA,Cuneiform
𒂰,U+120B0,CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL,Cuneiform
𒂱,U+120B1,CUNEIFORM SIGN EZEN TIMES LI,Cuneiform
𒂲,U+120B2,CUNEIFORM SIGN EZEN TIMES LU,Cuneiform
𒂳,U+120B3,CUNEIFORM SIGN EZEN TIMES U2,Cuneiform
𒂴,U+120B4,CUNEIFORM SIGN EZEN TIMES UD,Cuneiform
𒂵,U+120B5,CUNEIFORM SIGN GA,Cuneiform
𒂶,U+120B6,CUNEIFORM SIGN GA GUNU,Cuneiform
𒂷,U+120B7,CUNEIFORM SIGN GA2,Cuneiform
𒂸,U+120B8,CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA,Cuneiform
𒂹,U+120B9,CUNEIFORM SIGN GA2 TIMES A PLUS HA,Cuneiform
𒂺,U+120BA,CUNEIFORM SIGN GA2 TIMES A PLUS IGI,Cuneiform
𒂻,U+120BB,CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB,Cuneiform
𒂼,U+120BC,CUNEIFORM SIGN GA2 TIMES AN,Cuneiform
𒂽,U+120BD,CUNEIFORM SIGN GA2 TIMES ASH,Cuneiform
𒂾,U+120BE,CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL,Cuneiform
𒂿,U+120BF,CUNEIFORM SIGN GA2 TIMES BAD,Cuneiform
𒃀,U+120C0,CUNEIFORM SIGN GA2 TIMES BAR PLUS RA,Cuneiform
𒃁,U+120C1,CUNEIFORM SIGN GA2 TIMES BUR,Cuneiform
𒃂,U+120C2,CUNEIFORM SIGN GA2 TIMES BUR PLUS RA,Cuneiform
𒃃,U+120C3,CUNEIFORM SIGN GA2 TIMES DA,Cuneiform
