char,codepoint,name,block
𒅛,U+1215B,CUNEIFORM SIGN KA TIMES ASH2,Cuneiform
𒅜,U+1215C,CUNEIFORM SIGN KA TIMES BAD,Cuneiform
𒅝,U+1215D,CUNEIFORM SIGN KA TIMES BALAG,Cuneiform
𒅞,U+1215E,CUNEIFORM SIGN KA TIMES BAR,Cuneiform
𒅟,U+1215F,CUNEIFORM SIGN KA TIMES BI,Cuneiform
𒅠,U+12160,CUNEIFORM SIGN KA TIMES ERIN2,Cuneiform
𒅡,U+12161,CUNEIFORM SIGN KA TIMES ESH2,Cuneiform
𒅢,U+12162,CUNEIFORM SIGN KA TIMES GA,Cuneiform
𒅣,U+12163,CUNEIFORM SIGN KA TIMES GAL,Cuneiform
𒅤,U+12164,CUNEIFORM SIGN KA TIMES GAN2 TENU,Cuneiform
𒅥,U+12165,CUNEIFORM SIGN KA TIMES GAR,Cuneiform
𒅦,U+12166,CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A,Cuneiform
𒅧,U+12167,CUNEIFORM SIGN KA TIMES GI,Cuneiform
𒅨,U+12168,CUNEIFORM SIGN KA TIMES GIR2,Cuneiform
𒅩,U+12169,CUNEIFORM SIGN KA TIMES GISH PLUS SAR,Cuneiform
𒅪,U+1216A,CUNEIFORM SIGN KA TIMES GISH CROSSING GISH,Cuneiform
𒅫,U+1216B,CUNEIFORM SIGN KA TIMES GU,Cuneiform
𒅬,U+1216C,CUNEIFORM SIGN KA TIMES GUR7,Cuneiform
𒅭,U+1216D,CUNEIFORM SIGN KA TIMES IGI,Cuneiform
𒅮,U+1216E,CUNEIFORM SIGN KA TIMES IM,Cuneiform
𒅯,U+1216F,CUNEIFORM SIGN KA TIMES KAK,Cuneiform
𒅰,U+12170,CUNEIFORM SIGN KA TIMES KI,Cuneiform
𒅱,U+12171,CUNEIFORM SIGN KA TIMES KID,Cuneiform
𒅲,U+12172,CUNEIFORM SIGN KA TIMES LI,Cuneiform
𒅳,U+12173,CUNEIFORM SIGN KA TIMES LU,Cuneiform
𒅴,U+12174,CUNEIFORM SIGN KA TIMES ME,Cuneiform
𒅵,U+12175,CUNEIFORM SIGN KA TIMES ME PLUS DU,Cuneiform
𒅶,U+12176,CUNEIFORM SIGN KA TIMES ME PLUS GI,Cuneiform
𒅷,U+12177,CUNEIFORM SIGN KA TIMES ME PLUS TE,Cuneiform
𒅸,U+12178,CUNEIFORM SIGN KA TIMES MI,Cuneiform
𒅹,U+12179,CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ,Cuneiform
𒅺,U+1217A,CUNEIFORM SIGN KA TIMES NE,Cuneiform
𒅻,U+1217B,CUNEIFORM SIGN KA TIMES NUN,Cuneiform
𒅼,U+1217C,CUNEIFORM SIGN KA TIMES PI,Cuneiform
𒅽,U+1217D,CUNEIFORM SIGN KA TIMES RU,Cuneiform
𒅾,U+1217E,CUNEIFORM SIGN KA TIMES SA,Cuneiform
𒅿,U+1217F,CUNEIFORM SIGN KA TIMES SAR,Cuneiform
𒆀,U+12180,CUNEIFORM SIGN KA TIMES SHA,Cuneiform
𒆁,U+12181,CUNEIFORM SIGN KA TIMES SHE,Cuneiform
𒆂,U+12182,CUNEIFORM SIGN KA TIMES SHID,Cuneiform
𒆃,U+12183,CUNEIFORM SIGN KA TIMES SHU,Cuneiform
𒆄,U+12184,CUNEIFORM SIGN KA TIMES SIG,Cuneiform
𒆅,U+12185,CUNEIFORM SIGN KA TIMES SUHUR,Cuneiform
𒆆,U+12186,CUNEIFORM SIGN KA TIMES TAR,Cuneiform
𒆇,U+12187,CUNEIFORM SIGN KA TIMES U,Cuneiform
𒆈,U+12188,CUNEIFORM SIGN KA TIMES U2,Cuneiform
𒆉,U+12189,CUNEIFORM SIGN KA TIMES UD,Cuneiform
𒆊,U+1218A,CUNEIFORM SIGN KA TIMES UMUM TIMES PA,Cuneiform
𒆋,U+1218B,CUNEIFORM SIGN KA TIMES USH,Cuneiform
𒆌,U+1218C,CUNEIFORM SIGN KA TIMES ZI,Cuneiform
𒆍,U+1218D,CUNEIFORM SIGN KA2,Cuneiform
𒆎,U+1218E,CUNEIFORM SIGN KA2 CROSSING KA2,Cuneiform
𒆏,U+1218F,CUNEIFORM SIGN KAB,Cuneiform
𒆐,U+12190,CUNEIFORM SIGN KAD2,Cuneiform
𒆑,U+12191,CUNEIFORM SIGN KAD3,Cuneiform
𒆒,U+12192,CUNEIFORM SIGN KAD4,Cuneiform
𒆓,U+12193,CUNEIFORM SIGN KAD5,Cuneiform
𒆔,U+12194,CUNEIFORM SIGN KAD5 OVER KAD5,Cuneiform
𒆕,U+12195,CUNEIFORM SIGN KAK,Cuneiform
𒆖,U+12196,CUNEIFORM SIGN KAK TIMES IGI GUNU,Cuneiform
𒆗,U+12197,CUNEIFORM SIGN KAL,Cuneiform
𒆘,U+12198,CUNEIFORM SIGN KAL TIMES BAD,Cuneiform
𒆙,U+12199,CUNEIFORM SIGN KAL CROSSING KAL,Cuneiform
𒆚,U+1219A,CUNEIFORM SIGN KAM2,Cuneiform
𒆛,U+1219B,CUNEIFORM SIGN KAM4,Cuneiform
𒆜,U+1219C,CUNEIFORM SIGN KASKAL,Cuneiform
𒆝,U+1219D,CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U,Cuneiform
𒆞,U+1219E,CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,Cuneiform
𒆟,U+1219F,CUNEIFORM SIGN KESH2,Cuneiform
𒆠,U+121A0,CUNEIFORM SIGN KI,Cuneiform
𒆡,U+121A1,CUNEIFORM SIGN KI TIMES BAD,Cuneiform
𒆢,U+121A2,CUNEIFORM SIGN KI TIMES U,Cuneiform
𒆣,U+121A3,CUNEIFORM SIGN KI TIMES UD,Cuneiform
𒆤,U+121A4,CUNEIFORM SIGN KID,Cuneiform
𒆥,U+121A5,CUNEIFORM SIGN KIN,Cuneiform
𒆦,U+121A6,CUNEIFORM SIGN KISAL,Cuneiform
𒆧,U+121A7,CUNEIFORM SIGN KISH,Cuneiform
𒆨,U+121A8,CUNEIFORM SIGN KISIM5,Cuneiform
𒆩,U+121A9,CUNEIFORM SIGN KISIM5 OVER KISIM5,Cuneiform
𒆪,U+121AA,CUNEIFORM SIGN KU,Cuneiform
𒆫,U+121AB,CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2,Cuneiform
𒆬,U+121AC,CUNEIFORM SIGN KU3,Cuneiform
𒆭,U+121AD,CUNEIFORM SIGN KU4,Cuneiform
𒆮,U+121AE,CUNEIFORM SIGN KU4 VARIANT FORM,Cuneiform
𒆯,U+121AF,CUNEIFORM SIGN KU7,Cuneiform
𒆰,U+121B0,CUNEIFORM SIGN KUL,Cuneiform
𒆱,U+121B1,CUNEIFORM SIGN KUL GUNU,Cuneiform
𒆲,U+121B2,CUNEIFORM SIGN KUN,Cuneiform
𒆳,U+121B3,CUNEIFORM SIGN KUR,Cuneiform
𒆴,U+121B4,CUNEIFORM SIGN KUR OPPOSING KUR,Cuneiform
𒆵,U+121B5,CUNEIFORM SIGN KUSHU2,Cuneiform
𒆶,U+121B6,CUNEIFORM SIGN KWU318,Cuneiform
𒆷,U+121B7,CUNEIFORM SIGN LA,Cuneiform
𒆸,U+121B8,CUNEIFORM SIGN LAGAB,Cuneiform
𒆹,U+121B9,CUNEIFORM SIGN LAGAB TIMES A,Cuneiform
𒆺,U+121BA,CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA,Cuneiform
𒆻,U+121BB,CUNEIFORM SIGN LAGAB TIMES A PLUS GAR,Cuneiform
𒆼,U+121BC,CUNEIFORM SIGN LAGAB TIMES A PLUS LAL,Cuneiform
𒆽,U+121BD,CUNEIFORM SIGN LAGAB TIMES AL,Cuneiform
𒆾,U+121BE,CUNEIFORM SIGN LAGAB TIMES AN,Cuneiform
𒆿,U+121BF,CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU,Cuneiform
𒇀,U+121C0,CUNEIFORM SIGN LAGAB TIMES BAD,Cuneiform
𒇁,U+121C1,CUNEIFORM SIGN LAGAB TIMES BI,Cuneiform
𒇂,U+121C2,CUNEIFORM SIGN LAGAB TIMES DAR,Cuneiform
𒇃,U+121C3,CUNEIFORM SIGN LAGAB TIMES EN,Cuneiform
𒇄,U+121C4,CUNEIFORM SIGN LAGAB TIMES GA,Cuneiform
𒇅,U+121C5,CUNEIFORM SIGN LAGAB TIMES GAR,Cuneiform
𒇆,U+121C6,CUNEIFORM SIGN LAGAB TIMES GUD,Cuneiform
𒇇,U+121C7,CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD,Cuneiform
𒇈,U+121C8,CUNEIFORM SIGN LAGAB TIMES HA,Cuneiform
𒇉,U+121C9,CUNEIFORM SIGN LAGAB TIMES HAL,Cuneiform
𒇊,U+121CA,CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN,Cuneiform
𒇋,U+121CB,CUNEIFORM SIGN LAGAB TIMES IGI GUNU,Cuneiform
𒇌,U+121CC,CUNEIFORM SIGN LAGAB TIMES IM,Cuneiform
𒇍,U+121CD,CUNEIFORM SIGN LAGAB TIMES IM PLUS HA,Cuneiform
𒇎,U+121CE,CUNEIFORM SIGN LAGAB TIMES IM PLUS LU,Cuneiform
𒇏,U+121CF,CUNEIFORM SIGN LAGAB TIMES KI,Cuneiform
𒇐,U+121D0,CUNEIFORM SIGN LAGAB TIMES KIN,Cuneiform
𒇑,U+121D1,CUNEIFORM SIGN LAGAB TIMES KU3,Cuneiform
𒇒,U+121D2,CUNEIFORM SIGN LAGAB TIMES KUL,Cuneiform
𒇓,U+121D3,CUNEIFORM SIGN LAGAB TIMES KUL PLUS HI PLUS A,Cuneiform
𒇔,U+121D4,CUNEIFORM SIGN LAGAB TIMES LAGAB,Cuneiform
𒇕,U+121D5,CUNEIFORM SIGN LAGAB TIMES LISH,Cuneiform
𒇖,U+121D6,CUNEIFORM SIGN LAGAB TIMES LU,Cuneiform
𒇗,U+121D7,CUNEIFORM SIGN LAGAB TIMES LUL,Cuneiform
𒇘,U+121D8,CUNEIFORM SIGN LAGAB TIMES ME,Cuneiform
𒇙,U+121D9,CUNEIFORM SIGN LAGAB TIMES ME PLUS EN,Cuneiform
𒇚,U+121DA,CUNEIFORM SIGN LAGAB TIMES MUSH,Cuneiform
𒇛,U+121DB,CUNEIFORM SIGN LAGAB TIMES NE,Cuneiform
𒇜,U+121DC,CUNEIFORM SIGN LAGAB TIMES SHE PLUS SUM,Cuneiform
𒇝,U+121DD,CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH PLUS ERIN2,Cuneiform
𒇞,U+121DE,CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH TENU,Cuneiform
𒇟,U+121DF,CUNEIFORM SIGN LAGAB TIMES SHU2,Cuneiform
𒇠,U+121E0,CUNEIFORM SIGN LAGAB TIMES SHU2 PLUS SHU2,Cuneiform
𒇡,U+121E1,CUNEIFORM SIGN LAGAB TIMES SUM,Cuneiform
𒇢,U+121E2,CUNEIFORM SIGN LAGAB TIMES TAG,Cuneiform
𒇣,U+121E3,CUNEIFORM SIGN LAGAB TIMES TAK4,Cuneiform
𒇤,U+121E4,CUNEIFORM SIGN LAGAB TIMES TE PLUS A PLUS SU PLUS NA,Cuneiform
𒇥,U+121E5,CUNEIFORM SIGN LAGAB TIMES U,Cuneiform
𒇦,U+121E6,CUNEIFORM SIGN LAGAB TIMES U PLUS A,Cuneiform
𒇧,U+121E7,CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U,Cuneiform
𒇨,U+121E8,CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH,Cuneiform
𒇩,U+121E9,CUNEIFORM SIGN LAGAB TIMES UD,Cuneiform
𒇪,U+121EA,CUNEIFORM SIGN LAGAB TIMES USH,Cuneiform
𒇫,U+121EB,CUNEIFORM SIGN LAGAB SQUARED,Cuneiform
𒇬,U+121EC,CUNEIFORM SIGN LAGAR,Cuneiform
𒇭,U+121ED,CUNEIFORM SIGN LAGAR TIMES SHE,Cuneiform
𒇮,U+121EE,CUNEIFORM SIGN LAGAR TIMES SHE PLUS SUM,Cuneiform
𒇯,U+121EF,CUNEIFORM SIGN LAGAR GUNU,Cuneiform
𒇰,U+121F0,CUNEIFORM SIGN LAGAR GUNU OVER LAGAR GUNU SHE,Cuneiform
𒇱,U+121F1,CUNEIFORM SIGN LAHSHU,Cuneiform
𒇲,U+121F2,CUNEIFORM SIGN LAL,Cuneiform
𒇳,U+121F3,CUNEIFORM SIGN LAL TIMES LAL,Cuneiform
𒇴,U+121F4,CUNEIFORM SIGN LAM,Cuneiform
𒇵,U+121F5,CUNEIFORM SIGN LAM TIMES KUR,Cuneiform
𒇶,U+121F6,CUNEIFORM SIGN LAM TIMES KUR PLUS RU,Cuneiform
𒇷,U+121F7,CUNEIFORM SIGN LI,Cuneiform
𒇸,U+121F8,CUNEIFORM SIGN LIL,Cuneiform
𒇹,U+121F9,CUNEIFORM SIGN LIMMU2,Cuneiform
𒇺,U+121FA,CUNEIFORM SIGN LISH,Cuneiform
𒇻,U+121FB,CUNEIFORM SIGN LU,Cuneiform
𒇼,U+121FC,CUNEIFORM SIGN LU TIMES BAD,Cuneiform
𒇽,U+121FD,CUNEIFORM SIGN LU2,Cuneiform
𒇾,U+121FE,CUNEIFORM SIGN LU2 TIMES AL,Cuneiform
𒇿,U+121FF,CUNEIFORM SIGN LU2 TIMES BAD,Cuneiform
𒈀,U+12200,CUNEIFORM SIGN LU2 TIMES ESH2,Cuneiform
𒈁,U+12201,CUNEIFORM SIGN LU2 TIMES ESH2 TENU,Cuneiform
𒈂,U+12202,CUNEIFORM SIGN LU2 TIMES GAN2 TENU,Cuneiform
𒈃,U+12203,CUNEIFORM SIGN LU2 TIMES HI TIMES BAD,Cuneiform
𒈄,U+12204,CUNEIFORM SIGN LU2 TIMES IM,Cuneiform
𒈅,U+12205,CUNEIFORM SIGN LU2 TIMES KAD2,Cuneiform
𒈆,U+12206,CUNEIFORM SIGN LU2 TIMES KAD3,Cuneiform
𒈇,U+12207,CUNEIFORM SIGN LU2 TIMES KAD3 PLUS ASH,Cuneiform
𒈈,U+12208,CUNEIFORM SIGN LU2 TIMES KI,Cuneiform
𒈉,U+12209,CUNEIFORM SIGN LU2 TIMES LA PLUS ASH,Cuneiform
𒈊,U+1220A,CUNEIFORM SIGN LU2 TIMES LAGAB,Cuneiform
𒈋,U+1220B,CUNEIFORM SIGN LU2 TIMES ME PLUS EN,Cuneiform
𒈌,U+1220C,CUNEIFORM SIGN LU2 TIMES NE,Cuneiform
𒈍,U+1220D,CUNEIFORM SIGN LU2 TIMES NU,Cuneiform
𒈎,U+1220E,CUNEIFORM SIGN LU2 TIMES SI PLUS ASH,Cuneiform
𒈏,U+1220F,CUNEIFORM SIGN LU2 TIMES SIK2 PLUS BU,Cuneiform
𒈐,U+12210,CUNEIFORM SIGN LU2 TIMES TUG2,Cuneiform
𒈑,U+12211,CUNEIFORM SIGN LU2 TENU,Cuneiform
𒈒,U+12212,CUNEIFORM SIGN LU2 CROSSING LU2,Cuneiform
𒈓,U+12213,CUNEIFORM SIGN LU2 OPPOSING LU2,Cuneiform
𒈔,U+12214,CUNEIFORM SIGN LU2 SQUARED,Cuneiform
𒈕,U+12215,CUNEIFORM SIGN LU2 SHESHIG,Cuneiform
𒈖,U+12216,CUNEIFORM SIGN LU3,Cuneiform
𒈗,U+12217,CUNEIFORM SIGN LUGAL,Cuneiform
𒈘,U+12218,CUNEIFORM SIGN LUGAL OVER LUGAL,Cuneiform
𒈙,U+12219,CUNEIFORM SIGN LUGAL OPPOSING LUGAL,Cuneiform
𒈚,U+1221A,CUNEIFORM SIGN LUGAL SHESHIG,Cuneiform
𒈛,U+1221B,CUNEIFORM SIGN LUH,Cuneiform
𒈜,U+1221C,CUNEIFORM SIGN LUL,Cuneiform
𒈝,U+1221D,CUNEIFORM SIGN LUM,Cuneiform
𒈞,U+1221E,CUNEIFORM SIGN LUM OVER LUM,Cuneiform
𒈟,U+1221F,CUNEIFORM SIGN LUM OVER LUM GAR OVER GAR,Cuneiform
𒈠,U+12220,CUNEIFORM SIGN MA,Cuneiform
𒈡,U+12221,CUNEIFORM SIGN MA TIMES TAK4,Cuneiform
𒈢,U+12222,CUNEIFORM SIGN MA GUNU,Cuneiform
𒈣,U+12223,CUNEIFORM SIGN MA2,Cuneiform
𒈤,U+12224,CUNEIFORM SIGN MAH,Cuneiform
𒈥,U+12225,CUNEIFORM SIGN MAR,Cuneiform
𒈦,U+12226,CUNEIFORM SIGN MASH,Cuneiform
𒈧,U+12227,CUNEIFORM SIGN MASH2,Cuneiform
𒈨,U+12228,CUNEIFORM SIGN ME,Cuneiform
𒈩,U+12229,CUNEIFORM SIGN MES,Cuneiform
𒈪,U+1222A,CUNEIFORM SIGN MI,Cuneiform
𒈫,U+1222B,CUNEIFORM SIGN MIN,Cuneiform
𒈬,U+1222C,CUNEIFORM SIGN MU,Cuneiform
𒈭,U+1222D,CUNEIFORM SIGN MU OVER MU,Cuneiform
𒈮,U+1222E,CUNEIFORM SIGN MUG,Cuneiform
𒈯,U+1222F,CUNEIFORM SIGN MUG GUNU,Cuneiform
𒈰,U+12230,CUNEIFORM SIGN MUNSUB,Cuneiform
𒈱,U+12231,CUNEIFORM SIGN MURGU2,Cuneiform
𒈲,U+12232,CUNEIFORM SIGN MUSH,Cuneiform
𒈳,U+12233,CUNEIFORM SIGN MUSH TIMES A,Cuneiform
𒈴,U+12234,CUNEIFORM SIGN MUSH TIMES KUR,Cuneiform
𒈵,U+12235,CUNEIFORM SIGN MUSH TIMES ZA,Cuneiform
𒈶,U+12236,CUNEIFORM SIGN MUSH OVER MUSH,Cuneiform
𒈷,U+12237,CUNEIFORM SIGN MUSH OVER MUSH TIMES A PLUS NA,Cuneiform
𒈸,U+12238,CUNEIFORM SIGN MUSH CROSSING MUSH,Cuneiform
𒈹,U+12239,CUNEIFORM SIGN MUSH3,Cuneiform
𒈺,U+1223A,CUNEIFORM SIGN MUSH3 TIMES A,Cuneiform
𒈻,U+1223B,CUNEIFORM SIGN MUSH3 TIMES A PLUS DI,Cuneiform
𒈼,U+1223C,CUNEIFORM SIGN MUSH3 TIMES DI,Cuneiform
𒈽,U+1223D,CUNEIFORM SIGN MUSH3 GUNU,Cuneiform
𒈾,U+1223E,CUNEIFORM SIGN NA,Cuneiform
𒈿,U+1223F,CUNEIFORM SIGN NA2,Cuneiform
𒉀,U+12240,CUNEIFORM SIGN NAGA,Cuneiform
𒉁,U+12241,CUNEIFORM SIGN NAGA INVERTED,Cuneiform
𒉂,U+12242,CUNEIFORM SIGN NAGA TIMES SHU TENU,Cuneiform
𒉃,U+12243,CUNEIFORM SIGN NAGA OPPOSING NAGA,Cuneiform
𒉄,U+12244,CUNEIFORM SIGN NAGAR,Cuneiform
𒉅,U+12245,CUNEIFORM SIGN NAM NUTILLU,Cuneiform
𒉆,U+12246,CUNEIFORM SIGN NAM,Cuneiform
𒉇,U+12247,CUNEIFORM SIGN NAM2,Cuneiform
𒉈,U+12248,CUNEIFORM SIGN NE,Cuneiform
𒉉,U+12249,CUNEIFORM SIGN NE TIMES A,Cuneiform
𒉊,U+1224A,CUNEIFORM SIGN NE TIMES UD,Cuneiform
𒉋,U+1224B,CUNEIFORM SIGN NE SHESHIG,Cuneiform
𒉌,U+1224C,CUNEIFORM SIGN NI,Cuneiform
𒉍,U+1224D,CUNEIFORM SIGN NI TIMES E,Cuneiform
𒉎,U+1224E,CUNEIFORM SIGN NI2,Cuneiform
𒉏,U+1224F,CUNEIFORM SIGN NIM,Cuneiform
𒉐,U+12250,CUNEIFORM SIGN NIM TIMES GAN2 TENU,Cuneiform
𒉑,U+12251,CUNEIFORM SIGN NIM TIMES GAR PLUS GAN2 TENU,Cuneiform
𒉒,U+12252,CUNEIFORM SIGN NINDA2,Cuneiform
𒉓,U+12253,CUNEIFORM SIGN NINDA2 TIMES AN,Cuneiform
𒉔,U+12254,CUNEIFORM SIGN NINDA2 TIMES ASH,Cuneiform
𒉕,U+12255,CUNEIFORM SIGN NINDA2 TIMES ASH PLUS ASH,Cuneiform
𒉖,U+12256,CUNEIFORM SIGN NINDA2 TIMES GUD,Cuneiform
𒉗,U+12257,CUNEIFORM SIGN NINDA2 TIMES ME PLUS GAN2 TENU,Cuneiform
𒉘,U+12258,CUNEIFORM SIGN NINDA2 TIMES NE,Cuneiform
𒉙,U+12259,CUNEIFORM SIGN NINDA2 TIMES NUN,Cuneiform
𒉚,U+1225A,CUNEIFORM SIGN NINDA2 TIMES SHE,Cuneiform
𒉛,U+1225B,CUNEIFORM SIGN NINDA2 TIMES SHE PLUS A AN,Cuneiform
𒉜,U+1225C,CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH,Cuneiform
𒉝,U+1225D,CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH PLUS ASH,Cuneiform
𒉞,U+1225E,CUNEIFORM SIGN NINDA2 TIMES U2 PLUS ASH,Cuneiform
𒉟,U+1225F,CUNEIFORM SIGN NINDA2 TIMES USH,Cuneiform
𒉠,U+12260,CUNEIFORM SIGN NISAG,Cuneiform
𒉡,U+12261,CUNEIFORM SIGN NU,Cuneiform
𒉢,U+12262,CUNEIFORM SIGN NU11,Cuneiform
𒉣,U+12263,CUNEIFORM SIGN NUN,Cuneiform
𒉤,U+12264,CUNEIFORM SIGN NUN LAGAR TIMES GAR,Cuneiform
𒉥,U+12265,CUNEIFORM SIGN NUN LAGAR TIMES MASH,Cuneiform
𒉦,U+12266,CUNEIFORM SIGN NUN LAGAR TIMES SAL,Cuneiform
𒉧,U+12267,CUNEIFORM SIGN NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,Cuneiform
𒉨,U+12268,CUNEIFORM SIGN NUN LAGAR TIMES USH,Cuneiform
𒉩,U+12269,CUNEIFORM SIGN NUN TENU,Cuneiform
𒉪,U+1226A,CUNEIFORM SIGN NUN OVER NUN,Cuneiform
𒉫,U+1226B,CUNEIFORM SIGN NUN CROSSING NUN,Cuneiform
𒉬,U+1226C,CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR,Cuneiform
𒉭,U+1226D,CUNEIFORM SIGN NUNUZ,Cuneiform
𒉮,U+1226E,CUNEIFORM SIGN NUNUZ AB2 TIMES ASHGAB,Cuneiform
𒉯,U+1226F,CUNEIFORM SIGN NUNUZ AB2 TIMES BI,Cuneiform
𒉰,U+12270,CUNEIFORM SIGN NUNUZ AB2 TIMES DUG,Cuneiform
𒉱,U+12271,CUNEIFORM SIGN NUNUZ AB2 TIMES GUD,Cuneiform
𒉲,U+12272,CUNEIFORM SIGN NUNUZ AB2 TIMES IGI GUNU,Cuneiform
𒉳,U+12273,CUNEIFORM SIGN NUNUZ AB2 TIMES KAD3,Cuneiform
𒉴,U+12274,CUNEIFORM SIGN NUNUZ AB2 TIMES LA,Cuneiform
𒉵,U+12275,CUNEIFORM SIGN NUNUZ AB2 TIMES NE,Cuneiform
𒉶,U+12276,CUNEIFORM SIGN NUNUZ AB2 TIMES SILA3,Cuneiform
𒉷,U+12277,CUNEIFORM SIGN NUNUZ AB2 TIMES U2,Cuneiform
𒉸,U+12278,CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI,Cuneiform
𒉹,U+12279,CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI U,Cuneiform
𒉺,U+1227A,CUNEIFORM SIGN PA,Cuneiform
𒉻,U+1227B,CUNEIFORM SIGN PAD,Cuneiform
𒉼,U+1227C,CUNEIFORM SIGN PAN,Cuneiform
𒉽,U+1227D,CUNEIFORM SIGN PAP,Cuneiform
𒉾,U+1227E,CUNEIFORM SIGN PESH2,Cuneiform
𒉿,U+1227F,CUNEIFORM SIGN PI,Cuneiform
𒊀,U+12280,CUNEIFORM SIGN PI TIMES A,Cuneiform
𒊁,U+12281,CUNEIFORM SIGN PI TIMES AB,Cuneiform
𒊂,U+12282,CUNEIFORM SIGN PI TIMES BI,Cuneiform
𒊃,U+12283,CUNEIFORM SIGN PI TIMES BU,Cuneiform
𒊄,U+12284,CUNEIFORM SIGN PI TIMES E,Cuneiform
𒊅,U+12285,CUNEIFORM SIGN PI TIMES I,Cuneiform
𒊆,U+12286,CUNEIFORM SIGN PI TIMES IB,Cuneiform
𒊇,U+12287,CUNEIFORM SIGN PI TIMES U,Cuneiform
𒊈,U+12288,CUNEIFORM SIGN PI TIMES U2,Cuneiform
𒊉,U+12289,CUNEIFORM SIGN PI CROSSING PI,Cuneiform
𒊊,U+1228A,CUNEIFORM SIGN PIRIG,Cuneiform
𒊋,U+1228B,CUNEIFORM SIGN PIRIG TIMES KAL,Cuneiform
𒊌,U+1228C,CUNEIFORM SIGN PIRIG TIMES UD,Cuneiform
𒊍,U+1228D,CUNEIFORM SIGN PIRIG TIMES ZA,Cuneiform
𒊎,U+1228E,CUNEIFORM SIGN PIRIG OPPOSING PIRIG,Cuneiform
𒊏,U+1228F,CUNEIFORM SIGN RA,Cuneiform
𒊐,U+12290,CUNEIFORM SIGN RAB,Cuneiform
𒊑,U+12291,CUNEIFORM SIGN RI,Cuneiform
𒊒,U+12292,CUNEIFORM SIGN RU,Cuneiform
𒊓,U+12293,CUNEIFORM SIGN SA,Cuneiform
𒊔,U+12294,CUNEIFORM SIGN SAG NUTILLU,Cuneiform
𒊕,U+12295,CUNEIFORM SIGN SAG,Cuneiform
𒊖,U+12296,CUNEIFORM SIGN SAG TIMES A,Cuneiform
𒊗,U+12297,CUNEIFORM SIGN SAG TIMES DU,Cuneiform
𒊘,U+12298,CUNEIFORM SIGN SAG TIMES DUB,Cuneiform
𒊙,U+12299,CUNEIFORM SIGN SAG TIMES HA,Cuneiform
𒊚,U+1229A,CUNEIFORM SIGN SAG TIMES KAK,Cuneiform
𒊛,U+1229B,CUNEIFORM SIGN SAG TIMES KUR,Cuneiform
𒊜,U+1229C,CUNEIFORM SIGN SAG TIMES LUM,Cuneiform
𒊝,U+1229D,CUNEIFORM SIGN SAG TIMES MI,Cuneiform
𒊞,U+1229E,CUNEIFORM SIGN SAG TIMES NUN,Cuneiform
𒊟,U+1229F,CUNEIFORM SIGN SAG TIMES SAL,Cuneiform
𒊠,U+122A0,CUNEIFORM SIGN SAG TIMES SHID,Cuneiform
𒊡,U+122A1,CUNEIFORM SIGN SAG TIMES TAB,Cuneiform
𒊢,U+122A2,CUNEIFORM SIGN SAG TIMES U2,Cuneiform
𒊣,U+122A3,CUNEIFORM SIGN SAG TIMES UB,Cuneiform
𒊤,U+122A4,CUNEIFORM SIGN SAG TIMES UM,Cuneiform
𒊥,U+122A5,CUNEIFORM SIGN SAG TIMES UR,Cuneiform
𒊦,U+122A6,CUNEIFORM SIGN SAG TIMES USH,Cuneiform
𒊧,U+122A7,CUNEIFORM SIGN SAG OVER SAG,Cuneiform
𒊨,U+122A8,CUNEIFORM SIGN SAG GUNU,Cuneiform
𒊩,U+122A9,CUNEIFORM SIGN SAL,Cuneiform
𒊪,U+122AA,CUNEIFORM SIGN SAL LAGAB TIMES ASH2,Cuneiform
𒊫,U+122AB,CUNEIFORM SIGN SANGA2,Cuneiform
𒊬,U+122AC,CUNEIFORM SIGN SAR,Cuneiform
𒊭,U+122AD,CUNEIFORM SIGN SHA,Cuneiform
𒊮,U+122AE,CUNEIFORM SIGN SHA3,Cuneiform
𒊯,U+122AF,CUNEIFORM SIGN SHA3 TIMES A,Cuneiform
𒊰,U+122B0,CUNEIFORM SIGN SHA3 TIMES BAD,Cuneiform
𒊱,U+122B1,CUNEIFORM SIGN SHA3 TIMES GISH,Cuneiform
